t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,mode,background_offered_rps
54.93176271200355,51.0,0.0,0.028630207440425215,native-rep1,native,16.0
55.43929911000305,52.0,0.0,0.028973084176238673,native-rep1,native,16.0
55.94599249100065,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
56.45264726300229,52.0,0.0,0.028287330704611646,native-rep1,native,16.0
56.9577375450026,52.0,0.0,0.029144522544145346,native-rep1,native,16.0
57.46315548200073,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
57.96926062100101,52.0,0.0,0.02931596091205213,native-rep1,native,16.0
58.47407550200296,51.0,0.0,0.028630207440425215,native-rep1,native,16.0
58.97832735300108,51.0,0.0,0.028630207440425215,native-rep1,native,16.0
59.482504192001215,53.0,0.0,0.029144522544145346,native-rep1,native,16.0
59.98716570000033,52.0,0.0,0.028801645808331888,native-rep1,native,16.0
60.492615252002,23.0,0.0,0.01834390536602093,native-rep1,native,16.0
0.005811443999846233,0.0,0.0,0.0,native-rep2,native,16.0
0.5097895209983108,31.0,0.0,0.011486370649751443,native-rep2,native,16.0
1.0145576349968906,63.0,0.0,0.03805931767529569,native-rep2,native,16.0
1.520447630999115,54.0,0.0,0.03017315275158583,native-rep2,native,16.0
2.0269988309992186,53.0,0.0,0.029487399279958804,native-rep2,native,16.0
2.5308169549971353,52.0,0.0,0.028801645808331888,native-rep2,native,16.0
3.0355254409987538,51.0,0.0,0.02845876907251843,native-rep2,native,16.0
3.5405490349985484,52.0,0.0,0.028973084176238673,native-rep2,native,16.0
4.0442070239987515,51.0,0.0,0.028630207440425215,native-rep2,native,16.0
4.548411181996926,52.0,0.0,0.028973084176238673,native-rep2,native,16.0
5.052244859998609,52.0,0.0,0.028801645808331888,native-rep2,native,16.0
5.55670735899912,54.0,0.0,0.029487399279958804,native-rep2,native,16.0
6.061097172998416,53.0,0.0,0.030001714383679046,native-rep2,native,16.0
6.565451825998025,52.0,0.0,0.028801645808331888,native-rep2,native,16.0
7.070499646997632,52.0,0.0,0.028801645808331888,native-rep2,native,16.0
7.575184897999861,52.0,0.0,0.029144522544145346,native-rep2,native,16.0
8.079927138998755,52.0,0.0,0.028973084176238673,native-rep2,native,16.0
8.585115324000071,52.0,0.0,0.029144522544145346,native-rep2,native,16.0
9.090044337997824,52.0,0.0,0.029487399279958804,native-rep2,native,16.0
9.596863473998383,51.0,0.0,0.028287330704611646,native-rep2,native,16.0
10.10080796299735,51.0,0.0,0.02845876907251843,native-rep2,native,16.0
10.605439819999447,51.0,0.0,0.028630207440425215,native-rep2,native,16.0
11.110536874999525,52.0,0.0,0.028973084176238673,native-rep2,native,16.0
11.617785864997131,52.0,0.0,0.029144522544145346,native-rep2,native,16.0
12.124153463999392,52.0,0.0,0.028801645808331888,native-rep2,native,16.0
12.62909457799833,52.0,0.0,0.029144522544145346,native-rep2,native,16.0
13.136471799996798,55.0,0.0,0.030344591119492503,native-rep2,native,16.0
13.640698850998888,54.0,0.0,0.030344591119492503,native-rep2,native,16.0
14.14691605400003,53.0,0.0,0.030001714383679046,native-rep2,native,16.0
14.653181783000036,53.0,0.0,0.029658837647865588,native-rep2,native,16.0
15.160683670997969,58.0,0.0,0.04988856506086059,native-rep2,native,16.0
15.665067914997053,73.0,0.0,0.09669123949939995,native-rep2,native,16.0
16.168847891996847,90.0,0.0,0.12806446082633294,native-rep2,native,16.0
16.678076434000104,97.0,0.0,0.13646494085376304,native-rep2,native,16.0
17.186933099997987,108.0,0.0,0.1469226812960741,native-rep2,native,16.0
17.690997456997138,122.0,0.0,0.15995199725698617,native-rep2,native,16.0
18.19525954299752,142.0,0.0,0.17692439567975315,native-rep2,native,16.0
18.710023546998855,161.0,0.0,0.19269672552717299,native-rep2,native,16.0
19.21810252999785,180.0,0.0,0.210354877421567,native-rep2,native,16.0
19.723682698997436,198.0,0.0,0.23041316646665522,native-rep2,native,16.0
20.235697853997408,213.0,0.0,0.24807131836104923,native-rep2,native,16.0
20.739381224997487,229.0,0.0,0.2650437167838162,native-rep2,native,16.0
21.24618181400001,245.0,0.0,0.2815018001028631,native-rep2,native,16.0
21.75050286899932,254.0,5.0,0.28938796502657294,native-rep2,native,16.0
22.267463442000007,253.0,18.0,0.29504543116749526,native-rep2,native,16.0
22.78420258999904,254.0,29.0,0.30104577404423105,native-rep2,native,16.0
23.30142732799868,254.0,39.0,0.305674609977713,native-rep2,native,16.0
23.811367108999548,253.0,47.0,0.3084176238642208,native-rep2,native,16.0
24.315780094999354,254.0,50.0,0.3092748157037545,native-rep2,native,16.0
24.822813975999452,254.0,59.0,0.31390365163723644,native-rep2,native,16.0
25.341054237000208,253.0,67.0,0.31544659694839705,native-rep2,native,16.0
25.8574189869978,253.0,72.0,0.319389679410252,native-rep2,native,16.0
26.378938189998735,254.0,72.0,0.320075432881879,native-rep2,native,16.0
26.88438413699987,253.0,73.0,0.3181896108349048,native-rep2,native,16.0
27.39724903899696,252.0,76.0,0.3151037202125836,native-rep2,native,16.0
27.934020859000157,252.0,78.0,0.31201782959026225,native-rep2,native,16.0
28.45594798499951,253.0,78.0,0.3058460483456198,native-rep2,native,16.0
28.96078901799774,252.0,78.0,0.2979598834219098,native-rep2,native,16.0
29.466089370998816,254.0,81.0,0.2974455683181896,native-rep2,native,16.0
29.98424407299899,253.0,82.0,0.28921652665866626,native-rep2,native,16.0
30.49132310299683,252.0,77.0,0.28098748499914283,native-rep2,native,16.0
31.01509850399816,253.0,69.0,0.2746442653865935,native-rep2,native,16.0
